feat	id
ECHDC2	1498
PLBD1	1499
A1BG	1500
ZSCAN18	1501
PDZRN3	1502
CSTA	1503
MAPK8IP1	1504
DEPDC7	1505
CAT	1506
GJB6	1507
ADGRB2	1508
FABP3	1509
TNFSF10	1510
TMEM156	1511
TMEM54	1512
CXCR4	1513
RASL11A	1514
UBL3	1515
PAEP	1516
FMOD	1517
PRXL2A	1518
EEPD1	1519
NPY	1520
FAM126A	1521
HOXA7	1522
INHBA	1523
FKBP9	1524
ARL4A	1525
TWIST1	1526
GLIPR2	1527
RECK	1528
SPINK4	1529
CALD1	1530
PLAU	1531
SRGN	1532
CHST3	1533
BICC1	1534
ACADS	1535
CDKN2C	1536
RASSF8	1537
BHLHE41	1538
SSPN	1539
ITPR2	1540
ADGRE5	1541
ATP7B	1542
OPTN	1543
ITIH5	1544
NCKAP1L	1545
MMP19	1546
NR4A1	1547
HOXC13	1548
CDK2	1549
LRP1	1550
HOXC11	1551
HOXC12	1552
IL13RA2	1553
PLP1	1554
NRK	1555
NMI	1556
TNFAIP6	1557
BATF3	1558
G0S2	1559
C4BPB	1560
RAB38	1561
DAW1	1562
CHPF	1563
OBSL1	1564
SLC12A4	1565
CTCFL	1566
FAM210B	1567
PI3	1568
SNX21	1569
SLPI	1570
WFDC3	1571
PREX1	1572
SLC12A5	1573
ARHGAP40	1574
SDC4	1575
PARD6B	1576
TOX2	1577
PTGIS	1578
SNAI1	1579
PMEPA1	1580
BCAS4	1581
MAGEA10	1582
IQSEC2	1583
XG	1584
ATP8A1	1585
POF1B	1586
LYPD3	1587
TRERF1	1588
PACSIN1	1589
BTN2A2	1590
SERPINB6	1591
NQO2	1592
MOCS1	1593
H2BC11	1594
SPDEF	1595
COL21A1	1596
CDKN1A	1597
SOX4	1598
NRN1	1599
RUNX2	1600
RAB17	1601
CXCL6	1602
EREG	1603
TRIM51	1604
MYRF	1605
SCGB1D2	1606
SCGB2A1	1607
AHNAK	1608
SH3TC1	1609
MT1G	1610
MT2A	1611
DOK4	1612
CLYBL	1613
ABCC4	1614
EFNB2	1615
SOX21	1616
IRF1	1617
SEPTIN6	1618
TMEM255A	1619
BMP4	1620
SOX9	1621
HS3ST3B1	1622
IL1B	1623
PAX8	1624
PSD4	1625
TNFSF9	1626
CD70	1627
C3	1628
SH2D3A	1629
FOSB	1630
RTN2	1631
EML2	1632
SDCBP2	1633
FOXA2	1634
TMX4	1635
NRSN2	1636
RRBP1	1637
BMP2	1638
FLRT3	1639
OVOL2	1640
PCSK2	1641
DSTN	1642
LRRN4	1643
FAM110A	1644
CITED1	1645
GDF5	1646
MMP24	1647
ID1	1648
BPIFB1	1649
MMP24OS	1650
GRPR	1651
AMOT	1652
MCF2L	1653
CCR7	1654
RRAS	1655
PRRG2	1656
STAT5A	1657
WNK4	1658
GLIS2	1659
IFI6	1660
SSX1	1661
SIX1	1662
RHOJ	1663
HSPA2	1664
PLEKHG3	1665
PRDM7	1666
EVI2A	1667
AIF1L	1668
CTAG2	1669
ARMCX1	1670
ZC4H2	1671
FGD3	1672
HIVEP3	1673
EDN2	1674
ABHD8	1675
PLAAT1	1676
TSPAN8	1677
RAB3IP	1678
PTPRB	1679
LRRC61	1680
IDUA	1681
FGFRL1	1682
KLF2	1683
SYNGR3	1684
FBXL16	1685
MACF1	1686
TUBA4A	1687
VIL1	1688
TNFRSF19	1689
GNG11	1690
HIP1	1691
FGL2	1692
STEAP4	1693
